Check All,Check All
Total Products,Total Products
Total Qty,Total Qty
(Excl. tax: %1),(Excl. tax: %1)
Forbid Category Pages,Forbid Category Pages
Select category pages to hide button "Add Multiple Products". Unselected category pages will run based on other configs.,Select category pages to hide button "Add Multiple Products". Unselected category pages will run based on other configs.
