"Can not moved to quote because there are item(s) that are not allowed to add to quote in cart","Can not moved to quote because there are item(s) that are not allowed to add to quote in cart"
"Can't move items to quote!","Can't move items to quote!"
"%1 items has been move to quote %2","%1 items has been move to quote %2"
"Success Page","Success Page"
"%1 was updated in your quote extension.","%1 was updated in your quote extension."
"We can't update the item right now.","We can't update the item right now."
"We can't update the shopping cart.","We can't update the shopping cart."
"The request quote id no longer exists.","The request quote id no longer exists."
"You resubmit the quote","You resubmit the quote"
"This Quote can't re-submit.","This Quote can't re-submit."
"Could not save the quote version","Could not save the quote version"
"Qty: ","Qty: "
"Price: ","Price: "
"Comment: ","Comment: "
"Unable to serialize value.","Unable to serialize value."
"Unable to unserialize value.","Unable to unserialize value."
"Pending","Pending"
"Ordered","Ordered"
"Updated","Updated"
"Rejected","Rejected"
"Closed","Closed"
"Resubmitted","Resubmitted"
"Expired","Expired"
"The order object is not specified.","The order object is not specified."
"Excl. Tax","Excl. Tax"
"Incl. Tax","Incl. Tax"
"Products","Products"
"Quote #","Quote #"
"Quote Date: ","Quote Date: "
"Quote Comment: ","Quote Comment: "
"Ship to:","Ship to:"
"Shipping Method:","Shipping Method:"
"Total Shipping Charges","Total Shipping Charges"
"The Quote does not exist.","The Quote does not exist."
"Current customer does not have an active cart.","Current customer does not have an active cart."
"The shipping address is missing. Set the address and try again.","The shipping address is missing. Set the address and try again."
"The quote cannot placed. Verify the input data and try again.","The quote cannot placed. Verify the input data and try again."
"The shipping method can't be set for an empty cart. Add an item to cart and try again.","The shipping method can't be set for an empty cart. Add an item to cart and try again."
"The product does not exist.","The product does not exist."
"We adjusted product quantities to fit the required increments.","We adjusted product quantities to fit the required increments."
"Quantity was recalculated from %1 to %2'","Quantity was recalculated from %1 to %2'"
"Load customer quote extension error","Load customer quote extension error"
"Add to Quote","Add to Quote"
"Request for Quote","Request for Quote"
"Request for Quote Customer Group","Request for Quote Customer Group"
"Sub Total","Sub Total"
"Cancel","Cancel"
"Expire At: %1","Expire At: %1"
"Quote Date: %1","Quote Date: %1"
"Current Total: %1","Current Total: %1"
"Shipping Address","Shipping Address"
"Created Date","Created Date"
"Last Update","Last Update"
"Current Total","Current Total"
"Actions","Actions"
"Move all to Quote","Move all to Quote"
"Customer Comment","Customer Comment"
"Admin Comment","Admin Comment"
"Quote Items","Quote Items"
"The shipping method is missing. Select the shipping method and try again.","The shipping method is missing. Select the shipping method and try again."
"Items in Cart","Items in Cart"
"Close","Close"
"Proceed to Checkout Quote","Proceed to Checkout Quote"
"Edit item","Edit item"
"Remove item","Remove item"
"Remove","Remove"
"Update","Update"
"We can't get the quote instance right now.","We can't get the quote instance right now."
"Please correct the parent block for this block.","Please correct the parent block for this block."
"We can't find a quote to create order.","We can't find a quote to create order."
"We can't remove the item.","We can't remove the item."
"We can't update the item right now.","We can't update the item right now."
"We can't update the shopping cart.","We can't update the shopping cart."
"%1 doesn't extend \Bss\QuoteExtension\CustomerData\ItemInterface","%1 doesn't extend \Bss\QuoteExtension\CustomerData\ItemInterface"
"Customer ","Customer "
"We can't send the email quote right now.","We can't send the email quote right now."
"Invalid file!","Invalid file!"
"Log version ","Log version "
"Date: ","Date: "
"Quote Status","Quote Status"
"Quote # %1","Quote # %1"
"Quote Date","Quote Date"
"Quote Date (%1)","Quote Date (%1)"
"Quote Currency:","Quote Currency:"
"Quotes","Quotes"
"Add notes for this quote item","Add notes for this quote item"
Click <a href="%1">here</a> to continue shopping.,Click <a href="%1">here</a> to continue shopping.
"Customer Note","Customer Note"
"Loading...","Loading..."
"Are you sure you want to cancel this quote?","Are you sure you want to cancel this quote?"
"Quote Cancel","Quote Cancel"
"Are you sure you would like to remove this item from the quote?","Are you sure you would like to remove this item from the quote?"
"Status","Status"
"View Quote","View Quote"
"Action","Action"
"Item in Quote","Item in Quote"
"Items in Quote","Items in Quote"
"Recently added item(s)","Recently added item(s)"
"View and Edit Quote","View and Edit Quote"
"Request4Quote Other Page Config","Request4Quote Other Page Config"
"Request4Quote Shipping","Request4Quote Shipping"
"Enabled","Enabled"
"Method Name","Method Name"
"Title","Title"
"Displayed Error Message","Displayed Error Message"
"Sort Order","Sort Order"
"Manage Quote Requests","Manage Quote Requests"
"General","General"
"Enable Add to Quote for All Products","Enable Add to Quote for All Products"
"Apply to Customer Groups","Apply to Customer Groups"
"Minimum Quote Amount per Customer Group","Minimum Quote Amount per Customer Group"
"Default Day(s) to Quote Expiration","Default Day(s) to Quote Expiration"
"Send Reminder ... Day(s) before Expiration","Send Reminder ... Day(s) before Expiration"
"Disable Comment per Quote Item","Disable Comment per Quote Item"
"Disable Resubmit Action","Disable Resubmit Action"
"Icon Mini Quote","Icon Mini Quote"
"Auto Logging For Customer","Auto Logging For Customer"
"Apply Default Qty Conditions for Quoted Products","Apply Default Qty Conditions for Quoted Products"
"Email template chosen based on theme fallback when "Default" option is selected.","Email template chosen based on theme fallback when "Default" option is selected."
"FPT","FPT"
"Shipping & Handling","Shipping & Handling"
"Adjustment Refund","Adjustment Refund"
"Adjustment Fee","Adjustment Fee"
"Request for Quote Enable","Request for Quote Enable"
"Increment Id","Increment Id"
"Customer Id","Customer Id"
"Customer Email","Customer Email"
"Created At","Created At"
"Updated At","Updated At"
"Save Address","Save Address"
"For delivery questions.","For delivery questions."
"(Excl. Tax)","(Excl. Tax)"
"(Incl. Tax)","(Incl. Tax)"
"Order Total Excl. Tax","Order Total Excl. Tax"
"Order Total Incl. Tax","Order Total Incl. Tax"
"Your quote request has been received!","Your quote request has been received!"
"Edit","Edit"
"Ship Here","Ship Here"
"We can't add this item to your quote right now.","We can't add this item to your quote right now."
"We don't have as many "%1" as you requested","We don't have as many "%1" as you requested"
"No items add to your quote.","No items add to your quote."
"Minimum quote amount is [min_amount]","Minimum quote amount is [min_amount]"
"Address Information","Address Information"
"No Shipping Address!","No Shipping Address!"
"Total %1 product(s)","Total %1 product(s)"
